2,JOB1,NEFT,47,Nucleus,Noida,ICICI,DEBIT
6,JOB2,RTGS,89,Google,Delhi,SBI,CREDIT
12,JOB3,IFT,160,Apple,Mumbai,HDFC,CREDIT
27,JOB4,CASH,544,Tesla,Chennai,CITI,DEBIT
2,JOB1,NEFT,106,Qualcomm,Lucknow,RBI,DEBIT
6,JOB2,RTGS,177,Intel,Kolkata,ICICI,DEBIT
14,JOB3,IFT,277,SpaceX,Bangalore,SBI,DEBIT
20,JOB4,CASH,837,Reliance,Boston,HDFC,CREDIT
1,JOB1,NEFT,95,Xiaomi,NY,CITI,CREDIT
7,JOB2,RTGS,161,Airtel,Singapore,RBI,DEBIT
10,JOB3,IFT,255,Nucleus,London,ICICI,CREDIT
27,JOB4,CASH,784,Google,Mexico,SBI,DEBIT
2,JOB1,NEFT,69,Apple,Moscow,HDFC,DEBIT
8,JOB2,RTGS,121,Tesla,Taiwan,CITI,DEBIT
14,JOB3,IFT,203,Qualcomm,Tokyo,RBI,CREDIT
26,JOB4,CASH,653,Intel,Miami,ICICI,DEBIT
1,JOB1,NEFT,98,SpaceX,Nepal,SBI,CREDIT
9,JOB2,RTGS,165,Reliance,Assam,HDFC,DEBIT
17,JOB3,IFT,262,Xiaomi,Goa,CITI,DEBIT
20,JOB4,CASH,800,Airtel,Hyderabad,RBI,DEBIT
1,JOB1,NEFT,108,Nucleus,Noida,ICICI,CREDIT
5,JOB2,RTGS,179,Google,Delhi,SBI,DEBIT
12,JOB3,IFT,281,Apple,Mumbai,HDFC,CREDIT
21,JOB4,CASH,847,Tesla,Chennai,CITI,DEBIT
3,JOB1,NEFT,58,Qualcomm,Lucknow,RBI,DEBIT
6,JOB2,RTGS,105,Intel,Kolkata,ICICI,CREDIT
10,JOB3,IFT,181,SpaceX,Bangalore,SBI,DEBIT
21,JOB4,CASH,598,Reliance,Boston,HDFC,DEBIT
3,JOB1,NEFT,124,Xiaomi,NY,CITI,DEBIT
6,JOB2,RTGS,204,Airtel,Singapore,RBI,CREDIT
10,JOB3,IFT,314,Nucleus,London,ICICI,DEBIT
27,JOB4,CASH,929,Google,Mexico,SBI,CREDIT
4,JOB1,NEFT,106,Apple,Moscow,HDFC,DEBIT
7,JOB2,RTGS,176,Tesla,Taiwan,CITI,DEBIT
11,JOB3,IFT,276,Qualcomm,Tokyo,RBI,CREDIT
23,JOB4,CASH,836,Intel,Miami,ICICI,CREDIT
2,JOB1,NEFT,61,SpaceX,Nepal,SBI,DEBIT
8,JOB2,RTGS,109,Reliance,Assam,HDFC,DEBIT
12,JOB3,IFT,186,Xiaomi,Goa,CITI,CREDIT
25,JOB4,CASH,610,Airtel,Hyderabad,RBI,DEBIT
1,JOB1,NEFT,49,Nucleus,Noida,ICICI,DEBIT
7,JOB2,RTGS,91,Google,Delhi,SBI,DEBIT
16,JOB3,IFT,163,Apple,Mumbai,HDFC,DEBIT
24,JOB4,CASH,553,Tesla,Chennai,CITI,CREDIT
3,JOB1,NEFT,92,Qualcomm,Lucknow,RBI,CREDIT
8,JOB2,RTGS,156,Intel,Kolkata,ICICI,DEBIT
16,JOB3,IFT,249,SpaceX,Bangalore,SBI,CREDIT
21,JOB4,CASH,768,Reliance,Boston,HDFC,DEBIT
3,JOB1,NEFT,69,Xiaomi,NY,CITI,DEBIT
8,JOB2,RTGS,121,Airtel,Singapore,RBI,DEBIT
16,JOB3,IFT,203,Nucleus,London,ICICI,CREDIT
23,JOB4,CASH,652,Google,Mexico,SBI,DEBIT
4,JOB1,NEFT,43,Apple,Moscow,HDFC,DEBIT
6,JOB2,RTGS,83,Tesla,Taiwan,CITI,CREDIT
12,JOB3,IFT,152,Qualcomm,Tokyo,RBI,DEBIT
26,JOB4,CASH,524,Intel,Miami,ICICI,DEBIT
3,JOB1,NEFT,114,SpaceX,Nepal,SBI,CREDIT
8,JOB2,RTGS,189,Reliance,Assam,HDFC,DEBIT
13,JOB3,IFT,293,Xiaomi,Goa,CITI,DEBIT
23,JOB4,CASH,879,Airtel,Hyderabad,RBI,CREDIT
2,JOB1,NEFT,108,Nucleus,Noida,ICICI,DEBIT
9,JOB2,RTGS,179,Google,Delhi,SBI,DEBIT
14,JOB3,IFT,280,Apple,Mumbai,HDFC,CREDIT
21,JOB4,CASH,845,Tesla,Chennai,CITI,DEBIT
1,JOB1,NEFT,82,Qualcomm,Lucknow,RBI,DEBIT
5,JOB2,RTGS,140,Intel,Kolkata,ICICI,DEBIT
15,JOB3,IFT,229,SpaceX,Bangalore,SBI,DEBIT
27,JOB4,CASH,716,Reliance,Boston,HDFC,CREDIT
4,JOB1,NEFT,99,Xiaomi,NY,CITI,CREDIT
6,JOB2,RTGS,166,Airtel,Singapore,RBI,DEBIT
15,JOB3,IFT,263,Nucleus,London,ICICI,DEBIT
23,JOB4,CASH,802,Google,Mexico,SBI,CREDIT
3,JOB1,NEFT,102,Apple,Moscow,HDFC,DEBIT
6,JOB2,RTGS,171,Tesla,Taiwan,CITI,CREDIT
11,JOB3,IFT,269,Qualcomm,Tokyo,RBI,DEBIT
24,JOB4,CASH,818,Intel,Miami,ICICI,DEBIT
2,JOB1,NEFT,46,SpaceX,Nepal,SBI,CREDIT
8,JOB2,RTGS,87,Reliance,Assam,HDFC,CREDIT
12,JOB3,IFT,158,Xiaomi,Goa,CITI,DEBIT
25,JOB4,CASH,539,Airtel,Hyderabad,RBI,CREDIT
1,JOB1,NEFT,114,Nucleus,Noida,ICICI,CREDIT
