2,1,0,0,0,1,0,0,0,47,0,0,0,0,1
6,0,1,0,0,0,1,0,0,89,1,1,1,1,0
12,0,0,1,0,0,0,1,0,160,2,2,2,1,0
27,0,0,0,1,0,0,0,1,544,3,3,3,0,1
2,1,0,0,0,1,0,0,0,106,4,4,4,0,1
6,0,1,0,0,0,1,0,0,177,5,5,0,0,1
14,0,0,1,0,0,0,1,0,277,6,6,1,0,1
20,0,0,0,1,0,0,0,1,837,7,7,2,1,0
1,1,0,0,0,1,0,0,0,95,8,8,3,1,0
7,0,1,0,0,0,1,0,0,161,9,9,4,0,1
10,0,0,1,0,0,0,1,0,255,0,10,0,1,0
27,0,0,0,1,0,0,0,1,784,1,11,1,0,1
2,1,0,0,0,1,0,0,0,69,2,12,2,0,1
8,0,1,0,0,0,1,0,0,121,3,13,3,0,1
14,0,0,1,0,0,0,1,0,203,4,14,4,1,0
26,0,0,0,1,0,0,0,1,653,5,15,0,0,1
1,1,0,0,0,1,0,0,0,98,6,16,1,1,0
9,0,1,0,0,0,1,0,0,165,7,17,2,0,1
17,0,0,1,0,0,0,1,0,262,8,18,3,0,1
20,0,0,0,1,0,0,0,1,800,9,19,4,0,1
1,1,0,0,0,1,0,0,0,108,0,0,0,1,0
5,0,1,0,0,0,1,0,0,179,1,1,1,0,1
12,0,0,1,0,0,0,1,0,281,2,2,2,1,0
21,0,0,0,1,0,0,0,1,847,3,3,3,0,1
3,1,0,0,0,1,0,0,0,58,4,4,4,0,1
6,0,1,0,0,0,1,0,0,105,5,5,0,1,0
10,0,0,1,0,0,0,1,0,181,6,6,1,0,1
21,0,0,0,1,0,0,0,1,598,7,7,2,0,1
3,1,0,0,0,1,0,0,0,124,8,8,3,0,1
6,0,1,0,0,0,1,0,0,204,9,9,4,1,0
10,0,0,1,0,0,0,1,0,314,0,10,0,0,1
27,0,0,0,1,0,0,0,1,929,1,11,1,1,0
4,1,0,0,0,1,0,0,0,106,2,12,2,0,1
7,0,1,0,0,0,1,0,0,176,3,13,3,0,1
11,0,0,1,0,0,0,1,0,276,4,14,4,1,0
23,0,0,0,1,0,0,0,1,836,5,15,0,1,0
2,1,0,0,0,1,0,0,0,61,6,16,1,0,1
8,0,1,0,0,0,1,0,0,109,7,17,2,0,1
12,0,0,1,0,0,0,1,0,186,8,18,3,1,0
25,0,0,0,1,0,0,0,1,610,9,19,4,0,1
1,1,0,0,0,1,0,0,0,49,0,0,0,0,1
7,0,1,0,0,0,1,0,0,91,1,1,1,0,1
16,0,0,1,0,0,0,1,0,163,2,2,2,0,1
24,0,0,0,1,0,0,0,1,553,3,3,3,1,0
3,1,0,0,0,1,0,0,0,92,4,4,4,1,0
8,0,1,0,0,0,1,0,0,156,5,5,0,0,1
16,0,0,1,0,0,0,1,0,249,6,6,1,1,0
21,0,0,0,1,0,0,0,1,768,7,7,2,0,1
3,1,0,0,0,1,0,0,0,69,8,8,3,0,1
8,0,1,0,0,0,1,0,0,121,9,9,4,0,1
16,0,0,1,0,0,0,1,0,203,0,10,0,1,0
23,0,0,0,1,0,0,0,1,652,1,11,1,0,1
4,1,0,0,0,1,0,0,0,43,2,12,2,0,1
6,0,1,0,0,0,1,0,0,83,3,13,3,1,0
12,0,0,1,0,0,0,1,0,152,4,14,4,0,1
26,0,0,0,1,0,0,0,1,524,5,15,0,0,1
3,1,0,0,0,1,0,0,0,114,6,16,1,1,0
8,0,1,0,0,0,1,0,0,189,7,17,2,0,1
13,0,0,1,0,0,0,1,0,293,8,18,3,0,1
23,0,0,0,1,0,0,0,1,879,9,19,4,1,0
2,1,0,0,0,1,0,0,0,108,0,0,0,0,1
9,0,1,0,0,0,1,0,0,179,1,1,1,0,1
14,0,0,1,0,0,0,1,0,280,2,2,2,1,0
21,0,0,0,1,0,0,0,1,845,3,3,3,0,1
1,1,0,0,0,1,0,0,0,82,4,4,4,0,1
5,0,1,0,0,0,1,0,0,140,5,5,0,0,1
15,0,0,1,0,0,0,1,0,229,6,6,1,0,1
27,0,0,0,1,0,0,0,1,716,7,7,2,1,0
4,1,0,0,0,1,0,0,0,99,8,8,3,1,0
6,0,1,0,0,0,1,0,0,166,9,9,4,0,1
15,0,0,1,0,0,0,1,0,263,0,10,0,0,1
23,0,0,0,1,0,0,0,1,802,1,11,1,1,0
3,1,0,0,0,1,0,0,0,102,2,12,2,0,1
6,0,1,0,0,0,1,0,0,171,3,13,3,1,0
11,0,0,1,0,0,0,1,0,269,4,14,4,0,1
24,0,0,0,1,0,0,0,1,818,5,15,0,0,1
2,1,0,0,0,1,0,0,0,46,6,16,1,1,0
8,0,1,0,0,0,1,0,0,87,7,17,2,1,0
12,0,0,1,0,0,0,1,0,158,8,18,3,0,1
25,0,0,0,1,0,0,0,1,539,9,19,4,1,0
1,1,0,0,0,1,0,0,0,114,0,0,0,1,0
9,0,1,0,0,0,1,0,0,189,1,1,1,0,1
14,0,0,1,0,0,0,1,0,294,2,2,2,0,1
23,0,0,0,1,0,0,0,1,880,3,3,3,1,0
2,1,0,0,0,1,0,0,0,109,4,4,4,0,1
7,0,1,0,0,0,1,0,0,181,5,5,0,1,0
17,0,0,1,0,0,0,1,0,283,6,6,1,0,1
25,0,0,0,1,0,0,0,1,853,7,7,2,0,1
2,1,0,0,0,1,0,0,0,131,8,8,3,0,1
7,0,1,0,0,0,1,0,0,214,9,9,4,1,0
10,0,0,1,0,0,0,1,0,327,0,10,0,0,1
22,0,0,0,1,0,0,0,1,962,1,11,1,1,0
1,1,0,0,0,1,0,0,0,108,2,12,2,0,1
6,0,1,0,0,0,1,0,0,179,3,13,3,0,1
15,0,0,1,0,0,0,1,0,280,4,14,4,1,0
